number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price
3,2,1320,4320,1,0,0,3,6,660,660,1918,0,122034,52.7627,-114.537,1190,4200,2,67,366000
6,3,2940,7350,1,0,0,3,8,1780,1160,1978,0,122018,52.5403,-114.529,2120,8236,1,67,315000
4,2,2650,9990,2,0,0,3,10,2650,0,1990,0,122011,52.7905,-114.206,2710,8012,2,68,695000
3,2,1660,5550,2,0,0,3,7,1660,0,2002,0,122043,52.605,-114.494,1810,5550,3,70,270000
4,2,3340,123600,2,0,0,3,10,3340,0,2005,0,122045,52.8401,-114.145,3730,123600,3,70,749950
4,4,2790,10125,2,0,0,5,8,2790,0,1985,0,122057,52.7951,-114.41,2570,10125,2,68,1300000
4,2,2470,5100,2,0,0,3,8,2470,0,2005,0,122024,52.5922,-114.231,2240,5123,2,69,337000
3,2,1230,12000,1,0,0,3,6,1230,0,1970,0,122039,52.5178,-114.441,1550,12000,1,76,179900
2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,122072,52.5389,-114.4,1060,5095,2,58,189000
1,1,580,7200,1,0,0,3,6,580,0,2000,0,122064,52.7549,-114.563,1360,7560,1,76,315000
4,3,4140,24190,2,0,0,3,11,4140,0,2002,0,122023,52.5362,-114.34,3950,24190,3,56,657500
4,2,2610,4595,2,0,0,3,8,2610,0,2008,0,122058,53.0028,-114.425,2440,4588,2,55,535000
4,2,2420,2983,1,0,0,3,8,1480,940,1979,0,122012,52.7937,-114.275,2370,7699,1,70,525000
5,3,3010,12611,2,0,0,3,10,3010,0,1994,0,122005,52.926,-114.292,2890,9456,2,61,837700
4,2,2100,7960,1,0,0,3,8,1340,760,1955,0,122048,52.8379,-114.385,2060,7960,3,80,735000
3,2,1360,1489,2,0,0,3,8,1360,0,2007,0,122064,52.779,-114.562,1360,1688,1,66,345000
3,1,1240,5750,1,0,0,4,6,1240,0,1948,0,122009,52.794,-114.588,1240,5750,1,73,425000
2,1,880,7683,1,0,0,3,6,880,0,1942,0,122050,52.9445,-114.551,1370,7695,3,79,326100
3,2,910,5120,1,0,0,3,6,910,0,1973,0,122034,52.7538,-114.546,1410,5132,3,54,232900
4,2,2440,4000,2,0,0,3,7,2440,0,2009,0,122024,52.6141,-114.226,2410,4502,2,69,350000
4,2,2780,15075,2,0,0,3,7,2780,0,1985,0,122015,52.707,-114.306,1650,25542,3,60,439950
3,2,1690,3827,2,0,0,3,7,1690,0,2005,0,122045,52.9068,-114.219,1690,3129,2,50,449000
4,4,3730,15029,2,0,2,3,10,2440,1290,1991,0,122035,52.6104,-114.353,3440,14280,3,66,599950
3,2,1630,16170,1,0,0,3,7,1630,0,1988,0,122033,52.9404,-114.425,1630,9931,1,68,375000
1,1,1310,8667,2,0,0,1,6,1310,0,1918,0,122044,52.8359,-114.503,1130,4800,1,74,575000
3,2,2090,4077,2,0,0,4,8,1530,560,1931,0,122047,52.8733,-114.49,2010,4132,3,57,1050000
4,2,2380,10800,2,0,0,3,8,2380,0,2005,0,122024,52.5908,-114.226,2420,5000,1,54,360000
2,1,1070,6120,1,0,0,3,6,1070,0,1962,0,122056,52.7289,-114.507,1130,6120,2,64,209000
1,1,1120,11800,2,0,0,3,7,1120,0,1950,0,122056,52.7423,-114.521,2330,9290,3,68,309950
5,4,4590,35046,2,0,0,3,10,4590,0,2008,0,122010,52.8947,-114.35,3350,35857,3,62,1720000
2,1,960,223898,1,0,0,3,6,960,0,1985,0,122041,52.8968,-114.082,1830,230868,2,64,365000
3,2,1780,4650,2,0,0,3,7,1780,0,2011,0,122024,52.616,-114.237,3050,3848,1,72,299950
3,2,2460,4800,1,0,0,4,7,1230,1230,1938,0,122047,52.8643,-114.472,2860,4800,1,60,960000
4,2,1350,942,3,0,0,3,7,1350,0,2008,0,122012,52.7701,-114.216,1390,942,3,58,288790
3,2,1640,2875,2,0,0,3,6,1240,400,1983,0,122051,52.7986,-114.476,1500,3960,2,64,390000
4,2,1620,5200,2,0,0,4,7,1620,0,1978,0,122035,52.5929,-114.281,1500,5200,2,59,220000
4,2,3720,12384,1,0,2,5,8,1860,1860,1970,0,122020,52.8136,-114.264,3180,15541,2,55,875000
3,2,2160,8809,1,0,0,3,9,1540,620,2014,0,122028,52.9294,-114.539,930,5420,2,56,730000
4,4,4270,12305,2,0,2,3,10,4270,0,1994,0,122027,52.7789,-114.308,4190,13137,2,76,1160000
2,1,1840,4322,1,0,0,4,7,1160,680,1914,0,122054,52.8064,-114.479,1750,4322,1,75,513000
4,3,1980,5352,2,0,0,3,8,1980,0,1941,2005,122016,52.762,-114.575,1680,5352,1,66,744000
5,4,5190,14600,2,0,1,3,11,5190,0,2013,0,122071,52.8402,-114.415,3840,19250,3,67,2900000
4,2,2870,6000,1,0,0,5,8,1730,1140,1951,0,122047,52.8662,-114.472,2370,5500,1,51,1270000
3,2,1910,4363,2,0,0,3,9,1910,0,2006,0,122011,52.7782,-114.186,1890,3732,2,75,650000
3,2,1180,7384,1,0,0,5,7,1180,0,1959,0,122066,52.6138,-114.477,1150,7455,2,68,250200
3,3,1850,8820,2,0,0,4,8,1850,0,1993,0,122068,52.4228,-114.2,1850,8651,3,71,303000
2,1,1010,3600,1,0,0,3,7,1010,0,1913,0,122026,52.8941,-114.547,1540,3600,1,57,775000
2,1,1070,6678,1,0,0,4,7,1070,0,1951,0,122038,52.9615,-114.547,1680,7788,1,76,335000
3,2,1720,7119,2,0,0,4,7,1720,0,1952,0,122014,52.9835,-114.504,1590,7616,1,80,341000
3,2,1890,4400,2,0,0,5,7,1890,0,1919,0,122004,52.8962,-114.516,1620,4080,1,61,651000
2,2,1940,5700,1,0,0,3,7,970,970,1937,0,122007,52.9181,-114.557,1250,5700,3,58,535000
3,2,1950,6504,1,0,0,3,8,1530,420,1953,0,122006,52.9234,-114.518,1660,6552,1,53,447500
6,4,2400,8620,2,0,0,3,8,1640,760,1987,0,122033,52.9452,-114.352,1940,7350,1,71,435000
4,3,2900,10400,1,0,3,5,8,1530,1370,1959,0,122029,52.8154,-114.304,2820,10400,2,57,930000
2,2,1390,1302,2,0,0,3,7,1390,0,1986,0,122040,52.5389,-114.52,1390,1302,3,69,186950
4,2,2160,7417,1,0,0,4,7,1360,800,1983,0,122053,52.7422,-114.371,1880,8022,3,59,355000
4,2,1660,7350,1,0,0,3,8,1660,0,1965,2014,122029,52.8563,-114.314,1790,7455,3,52,610000
3,1,1090,3264,1,0,0,4,6,1090,0,1969,0,122023,52.5455,-114.372,1090,3330,2,73,152000
2,2,1620,1841,2,0,0,3,8,1540,80,2004,0,122011,52.7783,-114.194,1530,1831,1,60,395000
3,2,2160,8114,1,0,0,3,8,1460,700,1960,0,122038,52.9476,-114.54,2160,8000,1,56,530000
4,1,1330,9715,1,0,0,4,7,970,360,1957,0,122029,52.8338,-114.312,1590,8400,1,56,458450
3,2,2250,8000,1,0,2,4,9,2250,0,1955,0,122050,52.9377,-114.568,2880,10960,1,80,998800
3,3,2630,4896,2,0,0,3,9,2630,0,2006,0,122005,52.9232,-114.323,2880,4972,2,77,738000
3,2,2320,6775,1,0,0,3,8,2320,0,2008,0,122045,52.9458,-114.206,1680,4750,1,57,728050
3,2,2240,87625,2,0,0,2,7,1480,760,1980,0,122023,52.5343,-114.284,1920,110206,2,63,335000
4,3,2420,9566,2,0,0,3,7,2420,0,2003,0,122070,52.6993,-114.456,2420,9135,3,59,375000
4,2,2400,6811,2,0,0,3,8,2400,0,2007,0,122015,52.7259,-114.34,2710,5314,3,71,456500
3,1,1680,8910,1,0,0,4,7,1680,0,1940,0,122007,52.9311,-114.565,1620,7182,2,50,489900
2,1,1110,3200,1,0,0,3,7,1110,0,1925,0,122003,52.8638,-114.548,1170,3600,3,73,665000
3,2,1950,7421,2,0,0,3,8,1950,0,1996,0,122024,52.6142,-114.226,2200,4668,3,73,292000
3,1,2120,31564,1,0,0,3,7,1220,900,1942,0,122056,52.7238,-114.488,1790,11571,3,65,200000
3,4,4360,6240,2,0,3,3,10,2960,1400,2008,0,122028,52.9091,-114.544,1920,3910,1,50,1560000
4,2,1540,1870,2,0,0,3,8,1540,0,2014,0,122011,52.7824,-114.189,1540,1619,2,60,484998
3,2,2250,7294,2,0,0,3,8,2250,0,1994,0,122023,52.4936,-114.402,2140,7363,2,75,308900
3,2,2370,12196,2,0,0,4,7,2370,0,1970,0,122010,52.9034,-114.366,1380,12196,3,80,490000
2,1,1430,8157,2,0,0,3,7,1150,280,1944,0,122050,52.9556,-114.551,1820,8157,1,62,350000
3,2,1820,4910,2,0,0,3,8,1820,0,1993,0,122011,52.8003,-114.186,2090,6668,3,74,532000
3,1,1070,9497,1,0,0,3,7,1070,0,1955,0,122058,52.9725,-114.42,1710,9561,1,50,315000
3,1,1500,6600,1,0,0,2,6,1500,0,1970,0,122056,52.7145,-114.52,1730,6600,3,79,243000
4,2,1860,6325,2,0,0,4,7,1860,0,1991,0,122024,52.5792,-114.22,1860,6449,3,67,291000
4,2,2660,12672,1,0,0,4,8,1740,920,1960,0,122040,52.5634,-114.513,2280,12477,3,68,310000
2,2,1380,1329,2,0,0,3,8,1050,330,2008,0,122007,52.9203,-114.56,1360,3750,1,70,457000
4,2,3340,10422,2,0,0,3,10,3340,0,1996,0,122010,52.8815,-114.387,1770,9490,2,60,1150000
3,3,2650,7819,1,0,2,4,8,1760,890,1956,0,122053,52.7121,-114.382,2400,7727,1,51,410000
3,1,1240,9198,2,0,0,4,7,1240,0,1959,0,122066,52.6,-114.487,1170,8970,1,58,185000
2,1,800,5600,1,0,0,5,6,800,0,1955,0,122053,52.7259,-114.362,1100,6000,1,56,189900
3,1,1400,4980,1,0,0,3,6,950,450,1943,0,122038,52.9341,-114.53,990,4980,2,62,359950
4,2,2250,14440,1,0,0,3,7,1550,700,1967,0,122012,52.7521,-114.235,2090,11400,2,61,496500
4,2,3236,9608,2,0,0,3,10,3236,0,2005,0,122065,52.6138,-114.385,3236,9660,1,75,450000
5,3,2840,6240,2,0,0,5,9,2440,400,1905,0,122047,52.8585,-114.499,2940,6000,3,75,1430000
4,3,1540,4840,1,0,2,4,7,850,690,1929,0,122064,52.7791,-114.565,1180,4840,3,72,450000
4,2,1240,9600,1,0,0,3,7,1240,0,1971,0,122018,52.5506,-114.587,1240,9592,1,52,220000
3,2,2260,54014,1,0,0,3,7,1450,810,1962,0,122021,52.9957,-114.321,2140,44431,2,74,514000
3,2,1710,8910,1,0,0,5,7,1710,0,1953,0,122038,53.0019,-114.528,1430,8493,2,56,390000
5,4,3560,5008,2,0,0,3,8,2810,750,2013,0,122034,52.7842,-114.549,2910,5026,2,61,616950
2,1,980,3915,1,0,0,4,7,980,0,1919,0,122051,52.7889,-114.48,1425,1576,3,54,375000
3,2,2340,59058,1,0,0,3,8,2340,0,1985,0,122024,52.6352,-114.218,2700,37263,2,63,485000
3,2,1580,6620,1,0,0,3,7,1580,0,1988,0,122040,52.5098,-114.493,1580,8137,3,79,279900
3,2,1240,11172,1,0,0,3,7,1000,240,1984,0,122019,52.8664,-114.227,1330,14102,3,52,401000
4,2,1763,3717,2,0,0,3,8,1763,0,2012,0,122067,52.6513,-114.384,1763,3666,1,73,305000
4,2,2270,13449,1,0,0,4,9,1310,960,1975,0,122057,52.7716,-114.422,2810,13475,3,78,780000
3,2,3860,9000,1,0,2,3,9,1930,1930,1970,0,122014,52.9731,-114.48,2960,9000,1,64,880000
5,3,3170,8093,2,0,0,3,9,3170,0,2014,0,122020,52.8233,-114.25,3210,7062,3,61,890776
4,2,2460,7350,2,0,0,3,9,2460,0,1989,0,122018,52.5361,-114.539,2390,8568,2,76,347500
2,1,1020,7920,1,0,0,3,6,1020,0,1939,0,122059,52.7858,-114.5,1530,6900,2,54,235000
2,1,710,1131,2,0,0,4,7,710,0,1943,0,122013,52.8713,-114.519,1370,1173,2,60,399950
2,1,920,8341,1,0,0,3,7,920,0,1939,0,122052,52.7315,-114.57,2330,9792,2,78,319950
3,2,2370,7875,2,0,0,3,9,2370,0,2003,0,122008,52.7727,-114.053,2660,7752,1,58,522500
7,2,3260,8145,2,0,0,5,8,3260,0,1967,0,122029,52.8636,-114.305,2340,8145,3,72,770000
5,4,7320,217800,2,0,0,3,11,7320,0,1992,0,122046,52.6773,-114.276,3270,34500,3,58,1140000
3,2,3570,35271,2,0,0,3,9,3570,0,1997,0,122012,52.7082,-114.225,3510,37194,3,56,725000
4,2,2160,28750,2,0,0,4,8,2160,0,1978,0,122023,52.5512,-114.308,1790,53578,1,52,324888
3,2,1180,16552,1,0,0,4,7,1180,0,1967,0,122021,52.9726,-114.306,2780,45302,3,73,390000
2,1,840,5087,1,0,0,3,7,840,0,1925,0,122051,52.7857,-114.468,1590,5087,1,73,315000
3,2,1770,3993,2,0,0,3,8,1770,0,1999,0,122019,52.8327,-114.21,1820,4046,2,54,420000
4,2,2460,4425,2,0,0,3,8,2460,0,2006,0,122005,52.9348,-114.299,2990,5659,3,55,693000
4,4,3820,53574,1,0,0,3,10,3820,0,1994,0,122021,52.9637,-114.311,3140,54014,3,79,1220000
4,3,3170,7634,2,0,0,3,10,3170,0,1992,0,122020,52.8074,-114.244,2940,7846,2,80,750000
5,2,3580,16789,2,0,0,5,9,3580,0,1966,0,122057,52.7664,-114.429,3390,17000,3,50,1410000
4,1,1210,3760,2,0,0,3,6,1210,0,1900,0,122028,52.9172,-114.534,1540,3800,3,52,452000
3,2,1530,6743,1,0,0,3,7,1410,120,1955,0,122009,52.8045,-114.586,2040,6000,3,51,575000
4,1,1260,8505,2,0,0,5,7,1260,0,1951,0,122050,52.9481,-114.561,1480,8100,3,51,461000
3,2,1940,9775,1,0,2,3,8,1440,500,1975,0,122033,52.9442,-114.412,2830,9775,2,54,545000
3,2,1870,7080,1,0,0,4,7,1210,660,1969,0,122033,52.9544,-114.369,1620,8000,3,55,432000
3,2,1980,12150,1,0,0,3,9,1980,0,1994,0,122035,52.5957,-114.342,2200,12150,2,75,479900
2,1,800,10625,1,0,0,3,6,800,0,1942,0,122056,52.726,-114.507,1130,10625,3,80,109500
3,2,1220,1186,3,0,0,3,8,1220,0,2007,0,122028,52.9272,-114.531,1280,1251,3,56,355000
3,1,1660,7650,2,0,0,3,7,1350,310,1910,0,122051,52.7876,-114.467,1750,5760,3,77,250000
4,2,2490,12929,2,0,0,3,9,2490,0,1983,0,122019,52.8461,-114.211,2440,12929,1,80,616000
3,2,1280,1889,3,0,0,3,8,1280,0,2009,0,122004,52.8919,-114.514,1450,1889,2,65,540000
3,2,1640,3440,2,0,0,3,7,1640,0,1987,0,122005,52.9129,-114.287,1070,3549,3,54,408000
4,2,2470,5954,2,0,0,3,8,2470,0,2013,0,122058,52.9985,-114.426,2470,4800,2,60,550000
3,1,1370,3000,2,0,0,3,7,1370,0,1924,0,122028,52.8919,-114.541,1510,2151,2,56,479000
4,2,2410,4000,2,0,0,5,8,1650,760,1910,0,122006,52.9027,-114.506,1820,4000,2,68,883000
3,2,1140,8340,1,0,0,3,7,1140,0,1960,0,122056,52.7073,-114.47,1140,8340,2,55,200000
4,2,2350,7210,2,0,0,4,7,2350,0,1972,0,122017,52.9707,-114.373,1930,7519,1,64,500000
4,2,2440,9450,2,0,0,3,7,2440,0,1947,2014,122022,52.9361,-114.497,1720,7503,2,65,700000
4,2,2370,15200,1,0,0,3,8,1660,710,1975,0,122005,52.8595,-114.279,2360,13879,3,69,585000
2,1,1170,3000,2,0,0,3,7,1170,0,1910,0,122028,52.8997,-114.528,1530,4000,3,71,527500
3,3,1460,1254,3,0,0,3,8,1460,0,2000,0,122028,52.8835,-114.543,1400,1255,1,71,521000
5,2,2340,4500,2,0,0,3,7,2340,0,2009,0,122015,52.7211,-114.344,2190,4500,1,66,429000
4,2,1370,8837,2,0,0,3,7,1370,0,1955,0,122070,52.6686,-114.475,1360,9000,1,60,239000
4,3,2030,56192,1,0,0,3,8,1550,480,1979,0,122037,52.982,-114.263,2510,44866,1,77,440000
5,2,1730,7375,1,0,0,4,6,1730,0,1944,0,122063,52.7253,-114.428,1550,7125,2,58,249950
3,2,1610,14046,2,0,0,3,7,1610,0,1933,1988,122058,53.0004,-114.454,2410,9000,1,57,259000
4,4,3190,6875,2,0,2,3,8,2120,1070,1999,0,122033,52.9382,-114.411,2550,6875,2,69,675000
3,2,1430,1002,3,0,0,3,8,1430,0,2002,0,122028,52.928,-114.539,1430,1530,2,56,349000
5,3,4290,20445,2,0,0,4,11,4290,0,1985,0,122071,52.8517,-114.429,3620,22325,2,66,2680000
3,2,1430,3480,1,0,0,3,7,980,450,1947,0,122028,52.9174,-114.526,1450,4650,1,50,450000
3,3,1740,3700,1,0,0,3,7,1740,0,1982,0,122044,52.8402,-114.499,1830,2480,3,55,612000
4,2,2480,6000,2,0,2,3,10,2380,100,1929,0,122032,52.8692,-114.596,3030,5600,3,66,979700
4,4,4540,19767,2,0,0,3,11,4200,340,1998,0,122027,52.7745,-114.327,3990,12881,3,51,1150000
4,2,1900,10950,1,0,0,4,7,1400,500,1959,0,122066,52.5882,-114.474,1700,11850,1,77,290000
3,2,1810,11800,1,0,0,3,7,1240,570,1977,0,122063,52.7297,-114.421,1810,5641,3,64,251700
3,3,3160,9072,2,0,0,3,9,3160,0,2005,0,122053,52.7447,-114.367,3160,9072,2,55,553000
4,4,4120,7304,2,0,0,3,11,3070,1050,2006,0,122010,52.911,-114.357,2470,9600,2,78,968933
4,3,2530,4166,1,0,0,3,8,1470,1060,1976,0,122033,52.9394,-114.423,1840,7070,2,55,625000
4,4,4610,12500,2,0,2,3,11,4610,0,2003,0,122010,52.8808,-114.393,2340,11538,2,67,1650000
4,2,2448,4949,2,0,0,3,9,2448,0,2014,0,122065,52.5728,-114.369,2815,5446,2,50,447055
3,2,1690,5100,2,0,0,5,7,1690,0,1907,0,122007,52.9101,-114.57,1690,5100,1,77,515000
3,2,1340,63597,1,0,0,4,7,1340,0,1963,0,122024,52.6679,-114.201,1950,87120,1,76,290000
3,2,2500,36947,1,0,0,3,9,2500,0,1984,0,122005,52.9217,-114.274,2590,28837,2,61,662000
4,3,2530,4560,2,0,0,3,7,1540,990,1925,2014,122047,52.8587,-114.49,1640,4560,3,78,785950
3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,122003,52.8713,-114.554,1580,2640,2,79,685000
4,2,1750,18810,1,0,0,3,7,1220,530,1977,0,122015,52.7019,-114.264,1840,17424,2,79,360000
3,2,2400,10275,1,0,0,4,8,1540,860,1964,0,122005,52.9188,-114.316,2380,10125,3,76,510000
4,3,3740,11467,2,0,0,3,10,3740,0,2014,0,122011,52.811,-114.212,2510,27520,1,53,1140000
3,2,2320,38186,2,0,0,3,8,2320,0,1980,0,122045,52.8945,-114.258,2875,37523,1,54,610000
2,2,1440,11210,1,0,0,4,6,1130,310,1935,0,122052,52.728,-114.54,1250,9381,2,57,282500
4,3,2700,6000,2,0,0,4,8,2100,600,1910,0,122009,52.816,-114.573,2050,5400,1,74,749000
2,2,1040,8526,1,0,0,5,6,1040,0,1953,0,122014,52.9649,-114.485,1310,8504,3,68,343000
3,2,1390,18200,1,0,0,4,7,1390,0,1962,0,122018,52.5508,-114.527,1810,9675,3,59,261350
3,1,1430,7000,1,0,0,3,6,1430,0,1968,0,122018,52.5318,-114.559,1050,7700,3,69,213950
1,1,950,10585,2,0,0,3,6,950,0,1929,0,122006,52.9268,-114.487,1400,7056,2,51,377000
4,3,2760,4104,2,0,0,3,8,1900,860,2014,0,122053,52.7586,-114.377,2760,5186,2,69,641000
4,3,3620,5131,2,0,3,4,11,2350,1270,1927,0,122003,52.8799,-114.56,2550,5174,2,62,1530000
3,2,1800,6250,1,0,0,3,8,1420,380,1947,0,122009,52.8078,-114.579,1800,5625,2,68,580000
3,2,1610,3755,2,0,0,3,7,1610,0,1987,0,122005,52.9125,-114.287,1300,3823,2,78,395000
5,3,2770,7620,1,0,0,3,7,1700,1070,1965,0,122034,52.7488,-114.538,1720,7620,3,66,402000
1,1,370,1801,1,0,0,5,5,370,0,1923,0,122007,52.9078,-114.579,1340,5000,2,61,276000
3,2,1000,6914,1,0,0,3,7,1000,0,1947,0,122022,52.9444,-114.509,1000,6947,1,56,378000
4,3,2720,183823,2,0,0,3,8,2720,0,1975,2007,122045,52.9049,-114.192,2140,173804,1,60,850000
6,3,2840,8346,1,0,0,5,8,1420,1420,1961,0,122051,52.7818,-114.456,2250,8346,1,67,665000
3,1,1300,8284,1,0,0,3,7,1300,0,1968,0,122040,52.5627,-114.496,1360,7848,1,78,169575
4,2,1260,8400,1,0,0,3,6,1260,0,1991,0,122068,52.4246,-114.19,1120,8400,3,56,207200
2,1,610,4000,1,0,0,4,6,610,0,1918,0,122016,52.7769,-114.581,870,5160,1,73,286000
3,1,1030,7620,1,0,0,3,7,1030,0,1953,0,122064,52.7581,-114.565,1030,7560,2,55,330000
5,2,2240,7770,1,0,0,3,7,1340,900,1978,0,122033,52.9498,-114.361,1820,7770,2,52,455000
3,1,1660,21514,1,0,0,4,7,1660,0,1973,0,122068,52.4459,-114.154,1660,21600,1,69,220000
2,1,900,5512,1,0,0,3,7,900,0,1947,0,122006,52.9177,-114.479,1270,5512,1,60,470000
3,2,2550,5100,2,0,0,3,9,2550,0,2014,0,122006,52.9057,-114.516,1250,4080,1,68,1100000
4,4,3500,8547,2,0,0,3,9,2500,1000,1994,0,122027,52.7913,-114.316,2350,10270,2,79,799000
5,2,2540,3750,2,0,0,4,7,1510,1030,1925,0,122006,52.9029,-114.489,1780,3750,3,64,660000
5,3,1690,4000,1,0,0,5,7,970,720,1943,0,122034,52.7612,-114.544,1240,4000,3,65,399990
3,1,1110,6250,1,0,0,3,7,1110,0,1956,0,122006,52.9277,-114.482,2010,6944,3,61,345000
4,2,3720,35000,2,0,0,3,10,3720,0,1983,0,122021,52.9882,-114.32,3720,35000,1,71,828500
1,2,1150,9812,1,0,0,4,7,1150,0,1962,0,122039,52.5251,-114.474,1200,9812,2,56,227000
2,2,1560,4675,1,0,0,3,8,1560,0,2006,0,122045,52.9386,-114.209,1870,6361,2,78,509000
5,2,2550,6405,2,0,0,3,7,2550,0,2008,0,122008,52.7491,-114.059,2190,5900,2,67,465000
3,2,2280,2289,2,0,0,3,8,1880,400,2006,0,122012,52.7675,-114.263,2280,2425,3,65,535000
2,1,560,7560,1,0,0,3,6,560,0,1944,0,122064,52.7571,-114.565,990,7560,3,54,249900
3,2,2670,7500,1,0,0,4,7,1640,1030,1966,0,122031,52.6908,-114.544,1970,9598,1,68,465000
4,2,2580,7344,2,0,0,3,8,2580,0,1977,0,122012,52.7947,-114.28,2390,7507,3,68,588000
3,2,1510,6710,1,0,0,3,7,1070,440,1972,0,122033,52.9493,-114.406,1660,6600,2,50,397500
3,1,1010,3060,2,0,0,3,6,1010,0,1904,0,122051,52.7957,-114.475,1330,4590,1,51,345000
3,1,1610,7680,1,0,0,3,6,900,710,1956,0,122044,52.8338,-114.493,1940,2880,2,67,715000
5,3,1540,4000,1,0,0,3,7,1140,400,1990,0,122034,52.763,-114.544,1630,4000,3,75,357000
4,2,1200,8470,1,0,0,4,7,1200,0,1961,0,122018,52.5562,-114.528,1110,8400,3,58,223000
3,2,1820,1545,3,0,2,3,8,1640,180,1998,0,122028,52.8823,-114.536,1440,1290,1,62,504500
4,2,2050,6360,2,0,0,3,8,2050,0,1988,0,122011,52.7941,-114.201,2070,7541,1,67,530000
3,2,1240,4000,1,0,0,3,7,1240,0,1986,0,122042,52.7028,-114.381,1570,4586,2,80,259000
3,3,3080,12100,2,0,0,3,8,2080,1000,1984,0,122007,52.925,-114.589,2100,6581,1,59,695000
5,2,2310,13430,2,0,0,4,8,2310,0,1966,0,122048,52.8695,-114.393,2810,13906,3,68,850000
4,4,3320,8030,2,0,0,3,10,3320,0,2005,0,122020,52.8118,-114.162,3740,8030,1,80,802500
4,2,1740,10875,1,0,0,3,8,1740,0,1967,0,122015,52.7432,-114.347,1680,10701,1,54,429950
3,2,3190,324086,2,0,2,3,9,3190,0,1982,0,122036,52.7777,-114.12,3190,217800,2,50,765000
4,3,3488,9614,2,0,0,3,10,3488,0,1998,0,122019,52.8355,-114.203,3600,10891,3,76,815000
5,4,2660,6978,2,0,0,3,8,1980,680,1996,0,122023,52.4931,-114.402,2220,7294,1,64,332100
3,2,2220,3707,2,0,0,4,8,1620,600,1919,0,122044,52.847,-114.476,2030,4850,2,63,850000
2,2,1210,131115,2,0,0,5,7,1210,0,1950,0,122069,52.6899,-114.64,2020,185565,1,79,510000
2,2,1200,3624,2,0,0,3,6,1200,0,2003,0,122024,52.579,-114.215,1360,2693,1,64,234000
2,2,930,747,2,0,0,3,8,630,300,2007,0,122054,52.8144,-114.506,940,6000,1,80,355000
2,2,1280,8500,1,0,0,3,7,1280,0,1953,2010,122010,52.8853,-114.38,1950,10356,1,59,595000
3,2,1130,7223,1,0,0,4,7,1130,0,1961,0,122053,52.7389,-114.379,1320,7356,3,71,341500
1,1,920,5000,1,0,3,4,7,920,0,1906,0,122028,52.9048,-114.542,1890,5000,2,66,535000
3,2,1720,5525,1,0,2,5,7,960,760,1941,0,122059,52.789,-114.488,1760,5525,3,79,500000
2,1,1260,5800,1,0,0,4,7,1260,0,1939,0,122032,52.8801,-114.599,1830,5800,1,54,661000
3,1,1200,9527,1,0,0,3,7,1200,0,1959,0,122056,52.7412,-114.506,1510,9457,2,57,150000
4,2,2390,6775,2,0,0,3,7,2390,0,2003,0,122053,52.7111,-114.372,2560,6346,2,73,355000
4,3,1800,2500,2,0,0,3,7,1800,0,2000,0,122059,52.7633,-114.484,1830,6900,2,71,250000
3,2,2640,13775,1,0,0,3,8,1550,1090,1978,0,122049,52.8175,-114.367,2120,12432,2,79,530000
4,2,2660,22194,1,0,0,4,8,2180,480,1977,0,122029,52.8442,-114.297,2660,18135,1,61,625000
3,2,1340,11744,1,0,0,2,7,1340,0,1950,0,122052,52.7247,-114.55,2020,13673,2,54,357000
4,2,2510,7992,1,0,0,3,8,1610,900,1978,0,122066,52.6015,-114.475,2030,7992,2,51,319000
3,1,970,9600,1,0,0,3,7,970,0,1972,0,122025,52.6751,-113.958,1110,9600,1,52,242000
2,1,910,295772,1,0,0,3,5,910,0,1953,0,122035,52.6052,-114.3,2050,48351,1,71,533050
4,2,2780,9900,2,0,0,4,10,2780,0,1978,0,122019,52.8648,-114.25,2600,12000,2,72,660000
3,2,1160,22470,1,0,0,4,7,1160,0,1976,0,122058,52.9895,-114.42,1940,15999,3,72,375000
6,3,3420,22421,1,0,0,5,9,2270,1150,1948,0,122027,52.7808,-114.379,2430,15560,2,77,975000
4,2,1630,4473,2,0,0,3,7,1630,0,2003,0,122024,52.5846,-114.205,1830,5082,2,74,312900
4,3,4040,18916,1,0,0,4,9,4040,0,1954,0,122071,52.8455,-114.428,3000,18831,3,63,2270000
5,1,2150,262231,2,0,0,3,7,2150,0,1900,2000,122008,52.7819,-113.993,1460,46609,3,59,550000
3,2,2520,4534,1,0,0,5,9,1460,1060,1954,0,122032,52.8681,-114.591,1870,5023,2,76,849000
3,2,1580,11750,1,0,0,4,7,1180,400,1951,0,122051,52.7668,-114.455,2150,11750,3,62,575000
2,1,840,6720,1,0,0,3,7,840,0,1952,0,122009,52.8007,-114.586,1250,6720,2,66,355000
4,2,1330,8400,2,0,0,3,8,1330,0,1962,0,122049,52.8378,-114.359,2270,10146,3,56,540000
3,2,1240,1250,3,0,0,3,8,1240,0,2014,0,122026,52.9048,-114.567,1470,1250,3,72,529950
2,2,2120,6350,1,0,0,4,6,1440,680,1924,0,122028,52.9274,-114.546,1590,6350,3,72,300000
